Schulnummer,Schultyp,Name,Straße,PLZ,Ort,Link
"1050",Freie Waldorfschule,Waldorfschule Landshut (Grund- und weiterführende Schule) der Schulgenossenschaft Landshut e.G.,Im Spitalfeld 2,84032,Landshut,https://www.km.bayern.de/schule/1050
"3736",Mittelschule,Mittelschule Altdorf,Dekan-Wagner-Str. 17,84032,Altdorf,https://www.km.bayern.de/schule/3736
"3508",Mittelschule,St. Wolfgang Mittelschule Landshut,Weilerstr. 21,84032,Landshut,https://www.km.bayern.de/schule/3508
"3504",Mittelschule,St. Nikola Mittelschule Landshut,Nikolastr. 2,84034,Landshut,https://www.km.bayern.de/schule/3504
"3032",Berufsschule,Staatliche Berufsschule I mit BFI Landshut,Luitpoldstr. 26,84034,Landshut,https://www.km.bayern.de/schule/3032
"3092",Wirtschaftsschule,Private Wirtschaftsschule der Schulstiftung Seligenthal in Landshut,Bismarckplatz 14,84034,Landshut,https://www.km.bayern.de/schule/3092
"3196",Berufsfachschulen f. techn. Assistenzberufe,Staatliche Berufsfachschule für techn. Assistenten für Informatik Landshut,Luitpoldstr. 26,84034,Landshut,https://www.km.bayern.de/schule/3196
"3212",Berufsfachschule des Gesundheitswesens,Private Berufsfachschule für Physiotherapie der Ludwig Fresenius Schulen gem.GmbH in Landshut,Ludwig-Erhard-Str. 13,84034,Landshut,https://www.km.bayern.de/schule/3212
"3128",Fachakademie,Fachakademie für Sozialpädagogik der Schulstiftung Seligenthal in Landshut,Bismarckplatz 14,84034,Landshut,https://www.km.bayern.de/schule/3128
"3023",Förderzentrum,Pestalozzischule Priv. Förderzentrum Förderschwerpunkt geistige Entwicklung Landshut,Jürgen-Schumann-Str. 18,84034,Landshut,https://www.km.bayern.de/schule/3023
"3220",Förderzentrum,Staatl. Schule für Kranke im RBZ Niederbayern Landshut,Prof.-Buchner-Str. 22,84034,Landshut,https://www.km.bayern.de/schule/3220
"9224",Landwirtschaftliche Fachschulen,Landwirtschaftsschule Landshut,Klötzlmüllerstr. 3,84034,Landshut,https://www.km.bayern.de/schule/9224
"0147",Gymnasium,Hans-Leinberger-Gymnasium Landshut,Jürgen-Schumann-Str. 20,84034,Landshut,https://www.km.bayern.de/schule/0147
"0148",Gymnasium,Gymnasium der Schulstiftung Seligenthal in Landshut,Bismarckplatz 14,84034,Landshut,https://www.km.bayern.de/schule/0148
"0791",Berufsoberschule,Staatliche Berufsoberschule Landshut,Luitpoldstr. 26,84034,Landshut,https://www.km.bayern.de/schule/0791
"3521",Mittelschule,Grundschule der Schulstiftung Seligenthal in Landshut,Bismarckplatz 14,84034,Landshut,https://www.km.bayern.de/schule/3521
"3511",Mittelschule,Grundschule Carl-Orff Landshut,Lortzingweg 8,84034,Landshut,https://www.km.bayern.de/schule/3511
